"Opened Datetime","Closed Datetime","Unique Case ID","Status","Main Category","Sub category","Product","CSAT Score"
"2022-07-20 10:00:00","2022-07-21 14:00:00","f8a1b2c3-d4e5-f6a7-b8c9-d0e1f2a3b4c5","Closed","Product Problems","Wrong Item Received","Apple Ball",4
"2023-01-15 08:00:00","","d1e2f3a4-b5c6-d7e8-f9a0-b1c2d3e4f5a6","Open","Account","Password Reset","Banana Bat",
"2022-11-01 15:00:00","2022-11-02 11:00:00","c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1","Closed","Store","Stock Check","Orange Net",5
"2024-03-10 19:00:00","","b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7","Waiting","Complaints","Service Complaint","Grape Goal",
"2023-08-25 11:00:00","2023-08-28 09:00:00","a7b8c9d0-e1f2-a3b4-c5d6-e7f8a9b0c1d2","Closed","Product Problems","Defective Item","Mango Racket",2
"2024-06-01 14:00:00","","f1a2b3c4-d5e6-f7a8-b9c0-d1e2f3a4b5c6","Open","Account","Billing Inquiry","Pear Glove",
"2022-09-12 07:00:00","2022-09-12 16:00:00","e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8a9b0","Closed","Store","Opening Hours","Peach Skate",4
"2023-05-30 13:00:00","","d0e1f2a3-b4c5-d6e7-f8a9-b0c1d2e3f4a5","Waiting","Complaints","Product Complaint","Plum Bike",
"2023-12-18 16:00:00","2023-12-20 10:00:00","c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8","Closed","Product Problems","Missing Part","Kiwi Board",3
"2024-02-05 09:00:00","2024-02-06 11:00:00","b8c9d0e1-f2a3-b4c5-d6e7-f8a9b0c1d2e3","Closed","Account","Update Details","Berry Ski",5
"2022-08-03 12:00:00","2022-08-04 15:00:00","a2b3c4d5-e6f7-a8b9-c0d1-e2f3a4b5c6d7","Closed","Store","Location Finder","Apple Bat",5
"2023-10-22 18:00:00","","f7a8b9c0-d1e2-f3a4-b5c6-d7e8f9a0b1c2","Open","Complaints","Policy Complaint","Banana Net",
"2024-04-19 10:00:00","","e0f1a2b3-c4d5-e6f7-a8b9-c0d1e2f3a4b5","Waiting","Product Problems","Quality Concern","Orange Goal",
"2022-12-07 14:00:00","2022-12-08 09:00:00","d5e6f7a8-b9c0-d1e2-f3a4-b5c6d7e8f9a0","Closed","Account","Account Closure","Grape Racket",1
"2023-07-14 11:00:00","2023-07-17 13:00:00","c0d1e2f3-a4b5-c6d7-e8f9-a0b1c2d3e4f5","Closed","Store","Staff Issue","Mango Glove",3
"2024-05-28 17:00:00","","b1c2d3e4-f5a6-b7c8-d9e0-f1a2b3c4d5e6","Open","Complaints","Delivery Issue","Pear Skate",
"2023-03-02 08:00:00","2023-03-03 10:00:00","a6b7c8d9-e0f1-a2b3-c4d5-e6f7a8b9c0d1","Closed","Product Problems","Wrong Item Received","Peach Bike",4
"2022-10-11 13:00:00","","f9a0b1c2-d3e4-f5a6-b7c8-d9e0f1a2b3c4","Waiting","Account","Password Reset","Plum Board",
"2024-01-25 16:00:00","2024-01-26 12:00:00","e4f5a6b7-c8d9-e0f1-a2b3-c4d5e6f7a8b9","Closed","Store","Stock Check","Kiwi Ski",5
"2023-09-08 09:00:00","2023-09-11 14:00:00","d9e0f1a2-b3c4-d5e6-f7a8-b9c0d1e2f3a4","Closed","Complaints","Service Complaint","Berry Ball",2
"2022-07-28 15:00:00","","c2d3e4f5-a6b7-c8d9-e0f1-a2b3c4d5e6f7","Open","Product Problems","Defective Item","Apple Net",
"2023-11-14 10:00:00","2023-11-15 16:00:00","b7c8d9e0-f1a2-b3c4-d5e6-f7a8b9c0d1e2","Closed","Account","Billing Inquiry","Banana Goal",4
"2024-06-10 11:00:00","","a0b1c2d3-e4f5-a6b7-c8d9-e0f1a2b3c4d5","Waiting","Store","Opening Hours","Orange Racket",
